year,type,country,activity,sex,age,fatal,time,species
2015,Boating,USA,Fishing,M,22,N,7,White Shark
2015,Unprovoked,ESP,Swimming,M,10,N,11,Unknown Shark
2015,Provoked,USA,Fishing,M,57,N,8,Hammerhead Shark
2015,Unprovoked,AUS,Surfing,M,52,N,6,White Shark
2015,Unprovoked,USA,Surfing,M,25,N,19,Blacktip Shark
2015,Unprovoked,USA,Swimming,F,35,N,10,Unknown Shark
2015,Unprovoked,AUS,Diving,M,46,Y,10,White Shark
2015,Unprovoked,USA,Surfing,M,38,N,8,White Shark
2015,Unprovoked,USA,Surfing,M,32,N,10,Unknown Shark
2015,Unprovoked,AUS,Surfing,M,52,N,9,White Shark
2015,Unprovoked,AUS,Surfing,M,32,N,9,White Shark
2015,Unprovoked,USA,Swimming,M,68,N,12,Unknown Shark
2015,Unprovoked,USA,Swimming,M,12,N,18,Unknown Shark
2015,Unprovoked,USA,Swimming,M,18,N,16,Bull Shark
2015,Unprovoked,SA,Surfing,M,19,N,14,White Shark
2015,Unprovoked,USA,Swimming,F,18,N,19,Unknown Shark
2015,Unprovoked,SA,Surfing,M,23,N,16,White Shark
2015,Unprovoked,USA,Standing,M,43,N,11,Unknown Shark
2015,Unprovoked,USA,Surfing,M,47,N,11,Unknown Shark
2015,Unprovoked,USA,Swimming,M,6,N,12,Tiger Shark
2015,Unprovoked,AUS,Surfing,F,37,N,9,White Shark
2015,Unprovoked,PR,Fishing,M,36,N,10,Unknown Shark
2015,Unprovoked,USA,Swimming,M,10,N,13,Unknown Shark
2015,Unprovoked,USA,Wading,M,16,N,17,Bull Shark
2015,Unprovoked,USA,Wading,F,12,N,16,Bull Shark
2015,Unprovoked,USA,Surfing,F,13,N,12,Unknown Shark
2015,Unprovoked,USA,Playing,M,11,N,10,Bull Shark
2015,Unprovoked,REU,Surfing,M,47,N,15,Bull Shark
2015,Unprovoked,USA,Standing,F,14,N,15,Unknown Shark
2015,Unprovoked,USA,Wading,F,19,N,13,Unknown Shark
2015,Unprovoked,FP,Fishing,M,19,N,8,Unknown Shark
2015,Unprovoked,USA,Surfing,M,18,N,10,Unknown Shark
2015,Unprovoked,USA,Surfing,M,30,N,14,Unknown Shark
2015,Unprovoked,USA,Swimming,M,18,N,15,Unknown Shark
2015,Unprovoked,AUS,Surfing,M,18,N,15,White Shark
2015,Unprovoked,SA,Diving,M,29,N,13,White Shark
2015,Unprovoked,USA,Diving,F,65,Y,9,Unknown Shark
2015,Unprovoked,USA,Wading,M,63,N,16,Unknown Shark
2015,Unprovoked,AUS,Surfing,M,26,N,9,White Shark
2015,Unprovoked,AUS,Surfing,M,71,N,11,White Shark
2015,Unprovoked,REU,Surfing,M,13,Y,9,Bull Shark
2015,Unprovoked,AUS,Surfing,M,18,N,7,Unknown Shark
2015,Unprovoked,USA,Fishing,M,70,N,12,Bull Shark
2015,Unprovoked,BRZ,Surfing,M,23,N,11,Unknown Shark
2015,Unprovoked,USA,Standing,M,58,N,11,Tiger Shark
2015,Unprovoked,FP,Messing with Sharks,M,9,N,10,Blacktip Shark
2015,Boating,AUS,Fishing,M,18,N,10,Unknown Shark
2015,Provoked,MEX,Fishing,M,36,N,10,Unknown Shark
2015,Unprovoked,REU,Swimming,F,22,Y,18,Tiger Shark
2015,Unprovoked,AUS,Surfing,M,41,Y,10,Unknown Shark
2015,Unprovoked,AUS,Surfing,M,35,N,6,Unknown Shark
2015,Boating,AUS,Sailing,M,57,N,5,Bull Shark
2015,Provoked,USA,Fishing,M,20,N,3,Unknown Shark
2015,Unprovoked,SA,Swimming,M,24,N,12,Unknown Shark
2015,Boating,AUS,Fishing,M,18,N,13,Unknown Shark
2015,Unprovoked,USA,Swimming,M,38,N,22,Unknown Shark
2015,Unprovoked,BAH,Diving,F,34,N,16,White Shark
2015,Unprovoked,SA,Surfing,M,15,N,8,Raggedtooth Shark
2015,Unprovoked,USA,Surfing,M,12,N,12,Unknown Shark
2014,Unprovoked,AUS,Surfing,M,18,N,10,Unknown Shark
2014,Unprovoked,AUS,Fishing,M,17,Y,10,White Shark
2014,Unprovoked,SA,Swimming,M,18,N,10,Unknown Shark
2014,Unprovoked,USA,Surfing,M,50,N,11,White Shark
2014,Provoked,AUS,Fishing,M,40,N,10,Unknown Shark
2014,Unprovoked,AUS,Fishing,M,17,Y,11,Tiger Shark
2014,Provoked,ESP,Fishing,M,18,N,7,Unknown Shark
2014,Unprovoked,USA,Surfing,M,44,N,13,Unknown Shark
2014,Unprovoked,USA,Diving,M,53,N,13,Unknown Shark
2014,Unprovoked,AUS,Surfing,M,18,N,6,Unknown Shark
2014,Unprovoked,USA,Surfing,M,18,N,16,Unknown Shark
2014,Unprovoked,USA,Surfing,F,34,N,11,Tiger Shark
2014,Provoked,AUS,Surfing,M,20,N,18,Unknown Shark
2014,Unprovoked,USA,Surfing,F,18,N,10,Tiger Shark
2014,Unprovoked,USA,Surfing,M,18,N,8,Unknown Shark
2014,Unprovoked,USA,Surfing,M,18,N,11,Unknown Shark
2014,Unprovoked,AUS,Surfing,F,13,N,6,Unknown Shark
2014,Unprovoked,USA,Surfing,F,18,N,15,Unknown Shark
2014,Boating,AUS,Kayaking,M,18,N,17,Unknown Shark
2014,Unprovoked,USA,Surfing,M,29,N,11,Blacktip Shark
2014,Unprovoked,USA,Fishing,F,40,N,12,Unknown Shark
2014,Unprovoked,USA,Surfing,M,15,N,11,Blacktip Shark
2014,Boating,USA,Kayaking,M,18,N,14,White Shark
2014,Boating,USA,Kayaking,M,18,N,11,White Shark
2014,Unprovoked,USA,Surfing,M,28,N,17,Unknown Shark
2014,Unprovoked,AUS,Surfing,M,23,N,11,White Shark
2014,Unprovoked,USA,Surfing,M,18,N,11,Unknown Shark
2014,Unprovoked,USA,Surfing,M,18,N,18,Unknown Shark
2014,Unprovoked,AUS,Swimming,M,50,Y,10,Unknown Shark
2014,Unprovoked,USA,Fishing,M,43,N,13,Bull Shark
2014,Boating,USA,Kayaking,F,20,N,18,White Shark
2014,Provoked,USA,Fishing,M,52,N,20,Unknown Shark
2014,Unprovoked,USA,Surfing,F,13,N,16,Spinner Shark
2014,Unprovoked,USA,Surfing,M,18,N,16,Unknown Shark
2014,Unprovoked,USA,Standing,F,18,N,15,Unknown Shark
2014,Unprovoked,USA,Standing,M,18,N,11,Bull Shark
2014,Unprovoked,USA,Swimming,F,10,N,13,Unknown Shark
2014,Unprovoked,USA,Swimming,M,7,N,12,Bull Shark
2014,Unprovoked,USA,Surfing,M,10,N,14,Unknown Shark
2014,Unprovoked,USA,Surfing,M,8,N,13,Unknown Shark
2014,Unprovoked,SA,Surfing,M,20,N,14,White Shark
2014,Unprovoked,REU,Surfing,M,51,N,15,Unknown Shark
2014,Unprovoked,USA,Standing,M,8,N,12,Unknown Shark
2014,Unprovoked,USA,Swimming,M,61,N,17,Unknown Shark
2014,Unprovoked,USA,Swimming,M,39,N,14,Unknown Shark
2014,Unprovoked,BAH,Diving,M,63,N,22,Unknown Shark
2014,Unprovoked,USA,Surfing,M,14,N,14,Unknown Shark
2014,Provoked,USA,Swimming,M,18,N,9,White Shark
2014,Unprovoked,BAH,Fishing,M,42,N,13,Reef Shark
2014,Unprovoked,AUS,Surfing,M,18,N,17,Unknown Shark
2014,Unprovoked,AUS,Surfing,M,15,N,17,Unknown Shark
2014,Unprovoked,USA,Standing,M,16,N,17,Sand Shark
2014,Unprovoked,AUS,Surfing,M,39,N,9,Whaler Shark
2014,Unprovoked,JP,Surfing,M,43,N,12,Unknown Shark
2014,Unprovoked,USA,Swimming,F,14,N,12,Unknown Shark
2014,Unprovoked,USA,Swimming,F,22,N,13,Bull Shark
2014,Unprovoked,AUS,Surfing,M,18,N,10,Unknown Shark
2014,Unprovoked,FR,Diving,M,18,N,10,Unknown Shark
2014,Unprovoked,USA,Surfing,F,38,N,11,Unknown Shark
2014,Unprovoked,AUS,Surfing,M,35,N,9,White Shark
2014,Unprovoked,USA,Wading,F,44,N,11,Unknown Shark
2014,Unprovoked,USA,Swimming,F,40,N,15,Unknown Shark
2014,Unprovoked,USA,Surfing,M,23,N,15,Unknown Shark
2014,Unprovoked,USA,Swimming,M,42,N,15,Unknown Shark
2014,Unprovoked,USA,Wading,M,25,N,9,Unknown Shark
2014,Provoked,SA,Fishing,M,18,N,10,Raggedtooth Shark
2014,Unprovoked,USA,Surfing,M,15,N,13,Unknown Shark
2014,Unprovoked,USA,Surfing,M,15,N,13,Unknown Shark
2014,Unprovoked,AUS,Swimming,F,63,Y,8,White Shark
2014,Unprovoked,AUS,Diving,M,38,N,13,Unknown Shark
2014,Unprovoked,SA,Swimming,M,66,Y,15,Unknown Shark
2014,Unprovoked,NC,Surfing,M,42,N,17,Unknown Shark
2014,Unprovoked,AUS,Surfing,M,42,N,10,Unknown Shark
2014,Unprovoked,AUS,Surfing,F,10,N,17,Unknown Shark
2014,Unprovoked,AUS,Swimming,M,18,N,18,Wobbegong Shark
